File,aid,Date,2061,2062,2065,2066,2069,2070,2111,2116,2118,2120,2122,2124,2126,2175,2185,2186,2189,2190,2193,2194,2239,2257,2258,2261,2262,2265,2266,2303,2321,2322,2325,2326,2329,2330,2367,2376,2378,2380,2382,2384,2431,2445,2446,2449,2450,2453,2454,2495,2517,2518,2521,2522,2525,2526,2559,3098,3102,3106,3135,3154,3158,3162,3222,3226,3230,3263,3294,3298,3302,3327,3358,3362,3366,3414,3418,3422,3482,3486,3490,3519,3554,3558,3562,3583,4110,4114,4159,4164,4166,4168,4172,4174,4223,4369,4373,4374,5146,5150,5202,5206,5210,5406,5410,6158,6212,6216,6271,6417,18449,18450,18453,18454,18457,18458,18495,18573,18577,18645,18649,18653,18687,18709,18713,18717,18751,18833,18837,18905,18909,19486,19490,19519,19746,19750,19754,34837,34838,34841,34842,34892,34894,34896,34943,34961,34962,34965,34966,35033,35034,35037,35038,35071,35097,35098,35101,35102,35135,35152,35154,35156,35199,35221,35222,35225,35226,35263,35293,35294,35297,35298,35327,35874,35878,35930,35934,35998,36002,36070,36074,36095,36134,36138,36190,36194,36258,36262,36330,36334,36351,36889,36940,36944,37145,37149,37982,51225,51229,51421,51425,51485,51486,51489,51609,51681,51685,52262,52522,52526,52718,63999
_250m_16_days_VI_Quality_2004353_aid0001,aid0001,2004-12-18 00:00:00+00:00,24.0,3.0,,22.0,,,,85197.0,,110.0,,324.0,,,579.0,4.0,15.0,,41.0,,,,15.0,8.0,,,,,,19.0,,,,8.0,,4.0,,,,10.0,,9.0,,,,4.0,,,,11.0,4.0,,4.0,,,,,6.0,,21.0,,4.0,142.0,,,,4.0,,,,,,,,,,,,,,,1.0,,,,,,651.0,,23.0,,,,,,,,,,,,,,,,,,,184.0,,30.0,,,,5.0,,,,,,,4.0,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2005001_aid0001,aid0001,2005-01-01 00:00:00+00:00,,44.0,95.0,29.0,,,,84841.0,1.0,517.0,,,,1.0,321.0,,310.0,,,,1.0,18.0,,52.0,4.0,,,,5.0,,30.0,2.0,,,,155.0,5.0,,,,,148.0,10.0,20.0,,,,,,,,,,,,46.0,4.0,,,38.0,,,18.0,8.0,,,26.0,,,,,,,15.0,,,18.0,,,,,,,,,,,511.0,,,,,,,,,,,,,,,,,4.0,,,,56.0,2.0,9.0,,,,1.0,,,,,,,80.0,47.0,,,,,5.0,,,,,8.0,,,,,,,4.0,,,,,,,,,,,,,,,,,,6.0,,,,13.0,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2005017_aid0001,aid0001,2005-01-17 00:00:00+00:00,397.0,285.0,252.0,230.0,,,1.0,63123.0,,2896.0,16.0,,,1.0,2283.0,,1853.0,28.0,,,,196.0,,93.0,13.0,,,,28.0,12.0,6.0,14.0,,,,729.0,,49.0,5.0,,2.0,438.0,,101.0,13.0,,,2.0,14.0,,2.0,,,,,78.0,23.0,,,,87.0,,17.0,96.0,,,14.0,6.0,,,6.0,,,,33.0,,3.0,13.0,,,,,,,,,,802.0,,9.0,,,,,,,,4.0,,,,,,,,,,,11581.0,11.0,1372.0,4.0,,,12.0,,,121.0,,,,105.0,8.0,,,,,13.0,,,1.0,,9.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2005033_aid0001,aid0001,2005-02-02 00:00:00+00:00,146.0,425.0,963.0,497.0,,,,65310.0,,438.0,,,,,2052.0,,4667.0,,,,,91.0,,1401.0,,,,,50.0,88.0,391.0,31.0,,,,825.0,,35.0,,,,570.0,,722.0,,,,,34.0,,385.0,6.0,,,,37.0,201.0,,,,,,,9.0,,,,27.0,,,43.0,54.0,,,,,,5.0,,,,15.0,,,,,,780.0,,,,,3.0,,,,,,,,,,,,,,,,4519.0,38.0,1619.0,30.0,,,1.0,,,42.0,5.0,,,393.0,366.0,,4.0,27.0,,21.0,35.0,15.0,,,4.0,,,,10.0,,,,,,,14.0,,,,,,,,,,18.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,27.0,,,,23.0,,,,,,
_250m_16_days_VI_Quality_2005049_aid0001,aid0001,2005-02-18 00:00:00+00:00,95.0,599.0,486.0,425.0,,,1.0,63781.0,,1935.0,,,,,9281.0,,1304.0,,,,,148.0,,278.0,5.0,,,,112.0,136.0,225.0,127.0,,,,988.0,,42.0,,,,1600.0,,173.0,,,,1.0,181.0,4.0,48.0,41.0,,,,713.0,81.0,,,,,,54.0,4.0,,,188.0,22.0,,,187.0,15.0,,,,,92.0,,,,70.0,,,1.0,,,,852.0,,13.0,,,,,,,,,,,,,,,,,,,1139.0,27.0,1162.0,9.0,,,,,,5.0,,,,318.0,320.0,,,,,14.0,4.0,58.0,43.0,,10.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,64.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,
_250m_16_days_VI_Quality_2005065_aid0001,aid0001,2005-03-06 00:00:00+00:00,58.0,120.0,221.0,123.0,,,,76849.0,,1411.0,,,,,3876.0,4.0,1831.0,,,,,12.0,,73.0,,,,,21.0,5.0,80.0,,,,,421.0,,43.0,,,,275.0,15.0,249.0,,,,,49.0,,21.0,,,,,34.0,5.0,,,,,,18.0,,,,,,,,17.0,1.0,,,,,,,,,,,,,,,,616.0,,32.0,,,,,,,,,,,,,,,,,,,181.0,,760.0,13.0,,,1.0,,,,,,,45.0,39.0,,,,,,,,,,,,,,,,,,,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2005081_aid0001,aid0001,2005-03-22 00:00:00+00:00,32.0,52.0,347.0,27.0,,,,83803.0,,135.0,,,,,815.0,,553.0,,,,,22.0,,214.0,,,,,,,22.0,,,,,172.0,,,,,,71.0,,12.0,,,,,,,4.0,,,,,17.0,27.0,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,756.0,,,,,,,,,,,,,,,,,11.0,,,,290.0,,140.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2005097_aid0001,aid0001,2005-04-07 00:00:00+00:00,27.0,17.0,36.0,45.0,,,,70323.0,,,,,,,15392.0,,198.0,,,,,24.0,,21.0,,,,,,,,,,,,278.0,,,,,,50.0,,,,,,,,,,,,,,30.0,4.0,,,,,,,,,,19.0,,,,4.0,,,,,,,,,,,,,,,,,702.0,,,,,,,,,,,,,,,,,,,,,215.0,,,,,,,16.0,,,,,,,,,,,,,,19.0,,,,,,,,,,71.0,,,,,,,,,,,,,,,,,,22.0,,,,,,14.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
_250m_16_days_VI_Quality_2005113_aid0001,aid0001,2005-04-23 00:00:00+00:00,,549.0,13.0,125.0,,,,70796.0,,,,,,,11021.0,9.0,,,,,,99.0,85.0,16.0,,,,,18.0,20.0,,29.0,,,,878.0,,,,,,1065.0,,27.0,,,,,151.0,65.0,45.0,,,,,44.0,10.0,,,,,,1276.0,,,,128.0,,,,8.0,10.0,,,,,26.0,,,,83.0,,,,,,,719.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,28.0,4.0,,,,11.0,5.0,64.0,,,,,,,71.0,,,,,,,,,,,19.0,5.0,,,,,,,,,,,,,,,,,,,,,,
